CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Graham,,,NC,US,2020-02-01,50,50,,50,,,general protesters,"against racism, against police violence",0,protest,,,,,1,1,https://www.heraldsun.com/news/local/article243950637.html,,,,
Ashland,Memorial Park; streets of Ashland; Highway 13 to Enbridge Bunker,,WI,US,2020-07-01,,,,,,,"""Water Protectors""; general protesters","express concern about the recloation of Enbridge Line 5 Pipeline; in support of water, clean air, clean resources, clean food, self-sustainability, and move tward green energy",0,protest,0,0,0,0,1,1,https://kbjr6.com/2020/07/01/protesters-march-in-ashland-opposing-line-5-relocation/,,,,
New York,Brooklyn; outside Sen. Schumer home,Kings,NY,US,2020-07-01,,,,,,,IfNotNow,against Israeli occupation and annexation,1,protest,,,,,1,1,https://www.ifnotnowmovement.org/press-release-wake-up-chuck-and-nancy,,,,
New York,Brooklyn; Bay Ridge to Barclays Center,Kings,NY,US,2020-07-01,300; several thousand,300,,3000,,,general protestors,against Israeli occupation and annexation,1,protest,,,,,0,1,https://twitter.com/protest_nyc/status/1278422096595554304,https://www.flickr.com/photos/joegaza/50067497176/in/album-72157714939064997/,,,
New York,Brooklyn; Bay Ridge,Kings,NY,US,2020-07-01,,,,,,,general protestors,pro-Trump; support Israeli occupation and annexation,2,counter-protest,,,,,0,1,https://twitter.com/protest_nyc/status/1278422096595554304,,,,
Provo,,,UT,US,2020-07-01,about one-third of up to 300,100,,100,,,general protestors,against Black Lives Matter,2,counterprotest,0,0,0,0,1,1,"http://midutahradio.com/news/local-news/opposing-groups-protest-in-provo-following-shooting/#:~:text=Opposing%20groups%20protest%20in%20Provo%20following%20shooting.%20PROVO%2C,as%20the%20car%20began%20slowly%20accelerating%20through%20protesters.",,,,
Richmond,John Marshal Courts Building to the Executive Mansion,,VA,US,2020-07-01,,,,,,,general protestors,protest end to eviction moratorium,0,protest,2,0,0,1,1,1,https://www.usnews.com/news/best-states/virginia/articles/2020-07-02/court-window-smashed-at-least-2-arrests-in-virginia-protest,,,,
Roslyn,,,NY,US,2020-07-01,,,,,,,Pgh LGBTQ+ coalition,BLM,0,Protest,2,,,,1,1,https://docs.google.com/document/d/1gj1p6FoLpoO6UPPXlTgyfZkIReWo7uYfZueyiO5NtW4/edit#,,,,
Saint Louis,Old Courthouse,,MO,US,2020-07-01,dozens ,24,,24,,,general protesers,against police brutality,0,protest,,,,,1,1,https://www.ksdk.com/article/news/local/protests/activists-reparations-downtown-st-louis-protest/63-87bb68db-65fe-4d9b-88f0-4aed8cef5088,,,,
Saint Paul,Interstate 94,,MN,US,2020-07-01,,,,,,,general protesters,"for justice for Oromos in Ethiopia, against killing of Hachalu Hundessa",0,roadblock,,,,,1,1,https://www.twincities.com/2020/07/05/hachalu-hundessa-mn-st-paul-rally-ethiopians-oromo/,,,,
San Francisco,outside US Speaker Pelosi's home,San Francisco,CA,US,2020-07-01,,,,,,,IfNotNow,against Israeli occupation and annexation,1,protest,,,,,1,1,https://www.ifnotnowmovement.org/press-release-wake-up-chuck-and-nancy,,,,
Fountain Valley,Fountain Valley Regional Hospital,,CA,US,2020-07-02,at least 40,40,,40,,,healthcare workers,protest lack of personal protective equipment,0,protest,0,0,0,0,1,1,https://www.ocregister.com/2020/07/02/fountain-valley-hospital-workers-protest-for-widespread-patient-testing-and-protection-against-coronavirus-spread/,,,,
Glen Falls,Centennial Circle,,NY,US,2020-07-02,about three dozen,36,,36,,,general protesters,"against a city law restricting gatherings of more than 25 people due to COVID-19, for the First Amendment, for President Trump",2,protest,0,0,0,0,1,1,https://poststar.com/blogs/i_think_not/blog-experiencing-anger-and-cordiality-at-a-rally/article_f68fd95b-42bb-5d6e-8420-6e9c08e3333e.html,https://poststar.com/news/local/apex-return-to-centennial-circle-in-a-peaceful-rally/article_14f12a14-0a39-597f-a05f-8b62eeb2dcb1.html,,,
Lyle,highway 14 at Fourth Street ,,WA,US,2020-07-02,about 30,30,,30,,,general protesters,BLM,0,protest,,,,,1,1,https://www.thedalleschronicle.com/free_news/blm-gathering-in-lyle-draws-counter-protest-roadside-debate/article_5d484c1e-c07a-11ea-9b03-eb806abfdc23.html,,,,
Novato,DeLong Avenue Overpass,,CA,US,2020-07-02,more than 50,50,,50,,,Trump supporters,pro Trump,2,rally,0,0,0,0,1,1,https://www.mercurynews.com/2020/07/03/marin-conservatives-stage-novato-flag-wave-to-support-trump/,,,,
Pittsburgh,Pittsburgh City-County Building,,PA,US,2020-07-02,more than 40,40,,40,,,general protesters,against county-mandated bar closures and ban on on-site alcohol consumption at restaurants due to COVID-19,0,protest,,,,,1,1,https://www.pghcitypaper.com/pittsburgh/dozens-protest-in-downtown-pittsburgh-some-for-bars-to-reopen-others-to-ease-on-site-alcohol-restrictions/Content?oid=17579254,,,,
Windsor,,,NH,US,2020-07-02,,6,,6,,,general protesters,support for Windsor High School principal who was placed on paid leave after a Facebook post questioning the methods of the Black Lives Matter movement,0,rally,,,,,1,1,https://vtdigger.org/2020/07/03/lawsuit-and-protest-after-windsor-principal-ousted-over-black-lives-matter-post/?is_wppwa=true&wpappninja_cache=friendly,,,,
Dallas,Trinity Overlook Park,,TX,US,2020-07-03,hundreds,200,,200,,,general protesters,"against sexual harassment in the military, for justive for Vanessa Guillen",1,vigil; march,,,,,1,1,https://www.dmagazine.com/frontburner/2020/07/after-nearly-50-days-of-sustained-protests-the-call-for-justice-continues/,,,Independence for Who?,
Keystone,Mt. Rushmore,Pennington,SD,US,2020-07-03,several thousand,3000,,3000,,,Trump campaign,pro-Trump ,2,rally,0,0,0,0,1,1,https://www.washingtonpost.com/politics/trump-mount-rushmore-fireworks/2020/07/03/af2e84f6-bd25-11ea-bdaf-a129f921026f_story.html,,,,
Keystone,Highway 16A; Iron Mountain Roa,Pennington,SD,US,2020-07-03,arrested,21,,21,,,general protestors,anti-Trump; support Native American claim to land,1,protest; roadblock,21,0,0,0,0,1,https://www.bhpioneer.com/local_news/21-arrested-in-trump-protest-near-keystone/article_ae5db5b0-c06d-11ea-abf1-bb876a96c8f4.html,https://www.argusleader.com/story/news/2020/07/03/keystone-south-dakota-protesters-anti-trump-demonstration-mount-rushmore-rally-fireworks/5373812002/,https://rapidcityjournal.com/news/local/crime-and-courts/police-reports-tilsen-stole-shield-some-protesters-were-violent/article_f4ac146d-7678-5dfe-a536-d5f4c0200f56.html,,
Baltimire,,,MD,US,2020-07-04,,,,,,,general protestors,anti-police violence,0,protest,,,,1,1,1,https://www.baltimoresun.com/maryland/baltimore-city/bs-md-ci-columbus-inner-harbor-baltimore-20200709-whmutg2ggjbdtna7kgew4undvi-story.html,,,,
Berkeley,I 80 Pedestrian Bridge,,CA,US,2020-07-04,,,,,,,National CODEPINK,defund the police; defund the military,1,protest,,,,,1,1,https://www.indybay.org/newsitems/2020/06/27/18834655.php,,,,
College Station,,,TX,US,2020-07-04,,,,,,,general protesters,for justice for slain soldier Vanessa Guillen,0,protest,,,,,1,1,https://www.kbtx.com/2020/07/06/a-second-vanessa-guillen-demonstration-took-place-on-sunday-in-bryan/,,,,
Elizabethton,Covered Bridge Park,,TN,US,2020-07-04,,,,,,,general protesters,"against Black Lives Matter, supporting racism",0,counter-protest,,,,,0,1,https://www.wate.com/news/racist-remarks-go-viral-after-black-lives-matter-protest-in-elizabethton/,,,,
El Paso,Cincinnati Entertainment District,,TX,US,2020-07-04,,,,,,,general protesters,against restrictions on bars due to COVID-19 pandemic,0,protest,,,,,1,1,https://www.foxnews.com/food-drink/texas-protestors-dump-beer-keg-street-bar,,,protesters dumped a keg of beer on the street,
Kaysville,Barnes Park,,UT,US,2020-07-04,,,,,,,general protesters,against Covid restrictions; supporting independence,0,rally; protest,,,,,1,1,https://www.sltrib.com/news/politics/2020/06/30/group-protesting-covid/,,,,
Keene,Central Square,,NH,US,2020-07-04,,,,,,,general protesters,against war,0,demonstration,,,,,1,1,https://www.sentinelsource.com/news/local/dozens-of-rally-goers-gather-in-central-square-on-independence-day/article_ba39491c-4231-51a8-9296-fd679ad06ae1.html,,,article notes that this anti-war demonstration recurs regularly on Saturdays in Keene,
Keene,Central Square,,NH,US,2020-07-04,1,1,,1,,,general protesters,against Black Lives Matter,0,counter-protest,,,,,0,1,https://www.sentinelsource.com/news/local/dozens-of-rally-goers-gather-in-central-square-on-independence-day/article_ba39491c-4231-51a8-9296-fd679ad06ae1.html,,,,
Houston,,,TX,US,2020-07-04,hundreds,200,,200,,,general protesters,for reform of U.S. military's procedures for sexual assault investigations,0,,,,,,1,1,https://theeagle.com/news/state-and-regional/texans-across-the-state-march-to-demand-justice-for-fort-hood-soldier-vanessa-guill-n/article_793a1019-73df-5f34-9fad-f29065cfca89.html,,,,
Mansfield,Bob Evans restaurant on Trimble Rd,Richland,OH,US,2020-07-04,,,,,,,general protesters,"for police, Back the Blue",0,sit-in,,,,,1,1,https://www.mansfieldnewsjournal.com/story/news/2020/07/06/back-blue-demonstrators-protest-alleged-treatment-officers/5382841002/,,,protesting alleged mistreatment of police officer at restaurant on July 3,
Marquette,Harlow Park,,MI,US,2020-07-04,dozens,24,,24,,,Citizens United for Freedom and Firearms,for gun rights,0,open-carry march; rally,,,,,1,1,https://www.miningjournal.net/news/local/2020/07/second-amendment-supporters-rally/,,,,
Milwaukee,Old World 3rd Street,,WI,US,2020-07-04,,,,,,,general protester,for Black LGBTQIA Women's March ,0,march,,1,,1,1,1,https://www.jsonline.com/story/news/local/2020/07/09/milwaukee-police-start-investigation-into-officer-matthew-willmann/5396056002/,,,,
New Braunfels,Main Plaza,,TX,US,2020-07-04,about 300,300,,300,,,Keep New Braunfels OPEN,against governor's order to close or limit bars and other businesses because of COVID-19,2,protest,,,,,1,1,http://herald-zeitung.com/community_alert/article_7e8f1bde-bfc9-11ea-8179-67cb7385ef35.html,,,,
Rapid City,,,SD,US,2020-07-04,,,,,,,Indiginous groups; protesters,"Indiginous rights, anti-trump",1,protest,,,,,1,1,https://www.kotatv.com/2020/07/09/sheriff-demonstrators-broke-their-promise-protester-disagrees/,,,,
San Francisco,Highland Ave Bridge,,CA,US,2020-07-04,,,,,,,National CODEPINK,anti war,0,rally,,,,,1,1,https://www.indybay.org/newsitems/2020/06/27/18834654.php,https://www.codepink.org/sf_indep_from_war_2020,,,
San Francisco,24th St and Mission St,,CA,US,2020-07-04,,,,,,,general protestors,anti Trump/Pence,1,protest,,,,,1,1,https://sf.funcheap.com/trump-pence-4th-july-rally-march/,,,,
San Francisco,Mission High,,CA,US,2020-07-04,,,,,,,NoJusticeNoPeaceSF,anti 4th of July; anti racism; anti Islamophobia,1,protest,,,,,1,1,https://www.instagram.com/p/CCCFqQuAPE7/?igshid=1xk53shiszgvr,,,,
San Jose,Backesto Park,,CA,US,2020-07-04,,,,,,,general protestors,celebrate life of Anthony Nunez; anti police violence,0,rally,,,,,1,1,https://www.instagram.com/p/CCDAWqIhzTU/,,,,
San Jose,City Hall,,CA,US,2020-07-04,,,,,,,general protestors,anti ICE; protest kids in cages at border,1,protest,,,,,0,1,https://www.instagram.com/p/CCDAWqIhzTU/,,,,
Solvgang,Solvgang Park,,CA,US,2020-07-04,approximately 50,50,,50,,,Colors of the Valley,for LGBTQ pride,0,march,,,,,1,1,https://santamariatimes.com/lifestyles/pride-march-on-july-4-draws-festive-crowd-to-solvang-park/article_00a6d619-2514-5485-b263-b1dfa5e7f0f1.html,,,,
Wichita,home of Wichita Mayor Brian Whipple,,KS,US,2020-07-04,roughly 8,8,,8,,,general protesters,against a city ordinance requiring use of masks to prevent spread of COVID-19,0,protest,,,,,1,1,https://www.alvareviewcourier.com/story/2020/07/05/regional/mask-opponents-protest-at-wichita-mayors-home/64468.html,,,,
Athens,,,OH,US,2020-07-05,,,,,,,general protesters,"Back the Blue, support for police",0,protest,,,,,1,1,https://www.athensnews.com/news/local/defend-the-police-and-blm-rallies-take-to-uptown/article_dd6f5e22-39e5-56e0-9100-a04db8b529fb.html,,,,
Austin,,,TX,US,2020-07-05,,,,,,,general protesters,for justice for slain soldier Vanessa Guillen,0,march,,,,,1,1,https://theeagle.com/news/state-and-regional/texans-across-the-state-march-to-demand-justice-for-fort-hood-soldier-vanessa-guill-n/article_793a1019-73df-5f34-9fad-f29065cfca89.html,,,,
Boston,Washington St. near nublin sqaure,,MA,US,2020-07-05,,,,,,,volunteers,"against racism, against police violence",0,Mural,,,,,1,1,https://www.minotdailynews.com/wire/?category=5663&ID=116098,,,,
Charleston,Charleston Battery,,SC,US,2020-07-05,,,,,,,general protesters,support of Confederate flag,0,rally,2,2,,1,1,1,https://www.postandcourier.com/news/2-more-arrested-after-fight-between-protesters-at-charleston-battery/article_225694a0-c1fe-11ea-b41e-3ffa02fe5d90.html,,,,
Cody,City Park ,,WY,US,2020-07-05,About 300,300,,300,,,general protestes and two dozen counter protesters,against racism and excessive force,0,protest,,,,,1,1,https://www.yellowstonegate.com/2020/06/hundreds-gather-in-cody-to-protest-racism-excessive-force/,,,,
El Paso,,,TX,US,2020-07-05,,,,,,,general protesters,for justice for slain soldier Vanessa Guillen,0,march,,,,,1,1,https://theeagle.com/news/state-and-regional/texans-across-the-state-march-to-demand-justice-for-fort-hood-soldier-vanessa-guill-n/article_793a1019-73df-5f34-9fad-f29065cfca89.html,,,,
Gran Chute,,,WI,US,2020-07-05,about 50,50,,50,,,general protesters,demand the arrest of a police officer who posted racist and homophobic posts on social media,0,protest,,,,,1,1,https://www.sheboyganpress.com/story/news/2020/07/05/50-people-gathered-sunday-call-grand-chute-fire-police-officer-racist-social-media-posts/5380343002/,,,,
Fair Oaks,Gov Newsom's House,,CA,US,2020-07-05,FB: 53,53,,53,,,general protestors,pro releasing prisoners during Covid,1,protest,,,,,1,1,https://www.facebook.com/events/1678207449016998,,,,
Fort Lauderdale,,,FL,US,2020-07-05,,,,,,,general protesters,"support for Palestine, against Israeli annexation, Day of Rage",0,protest,,,,,1,1,https://www.wctv.tv/2020/07/06/protesters-gather-for-day-of-rage-march-to-oppose-annexation-of-palestinian-territories/,,,,
Fort Myers,Centennial Park,,FL,US,2020-07-05,,,,,,,general protesters,for police,0,rally,,,,,1,1,https://www.fox4now.com/news/local-news/rally-to-support-police-meets-black-lives-matters-protestors,,,,
Gainesville,University Ave and Southwest 13th St,,FL,US,2020-07-05,more than 100,100,,100,,,general protesters,"support for Palestine, against Israeli occupation",0,protest,,,,,1,1,https://www.alligator.org/news/local/palestine-will-be-free-more-than-100-gather-to-protest-annexation/article_51521ed8-bfaa-11ea-9dec-b76bc72a0c15.html,,,,
Gainesville,University Ave and Southwest 13th St,,FL,US,2020-07-05,7,7,,7,,,general protesters,support for Israel,0,counter-protest,,,,,0,1,https://www.alligator.org/news/local/palestine-will-be-free-more-than-100-gather-to-protest-annexation/article_51521ed8-bfaa-11ea-9dec-b76bc72a0c15.html,,,,
Green Bay,,,WI,US,2020-07-05,around 100,100,,100,,,general protesters,memorial ride and rally for Jonathon Tubby,0,ride; rally,,,,,1,1,https://www.wbay.com/2020/07/06/memorial-ride-and-rally-keeps-jonathon-tubbys-story-alive/,,,Tubby was an Oneida man who was killed by police in 2018 while in custody after a traffic stop,
Hewlett,,,NY,US,2020-07-05,3,3,,3,,,general protesters,for Blue Lives Matter,0,counter-protest,,,,,1,1,"https://www.liherald.com/fivetowns/stories/peaceful-black-lives-matter-protest-in-hewlett,126367",,,,
Houston,Power House Gym,,TX,US,2020-07-05,,,,,,,general protesters,for justice for slain soldier Vanessa Guillen,0,march,,,,,1,1,https://theeagle.com/news/state-and-regional/texans-across-the-state-march-to-demand-justice-for-fort-hood-soldier-vanessa-guill-n/article_793a1019-73df-5f34-9fad-f29065cfca89.html,,,,
Mansfield,Bob Evans restaurant on Trimble Rd,Richland,OH,US,2020-07-05,couple dozen,24,,24,,,general protesters,"for police, Back the Blue",0,sit-in,,,,,1,1,https://www.mansfieldnewsjournal.com/story/news/2020/07/06/back-blue-demonstrators-protest-alleged-treatment-officers/5382841002/,,,protesting alleged mistreatment of police officer at restaurant on July 3,
Orlando,,,FL,US,2020-07-05,,,,,,,general protesters,"support for Palestine, against Israeli annexation, Day of Rage",0,protest,,,,,1,1,https://www.wctv.tv/2020/07/06/protesters-gather-for-day-of-rage-march-to-oppose-annexation-of-palestinian-territories/,,,,
Palo Alto,Foothills Park entrance,,CA,US,2020-07-05,about a dozen,12,,12,,,local teens; Raging Grannies,protest park's policy of not admitting nonresidents,0,mural,0,0,0,0,1,1,https://www.mv-voice.com/news/2020/07/08/activist-group-calls-on-city-to-desegregate-foothills-park,,,,
Pauls Valley,Wicker Park,,OK,US,2020-07-05,a couple dozen or so,24,,24,,,general protesters,antiracism; Black Lives Matter,1,protest,0,0,0,0,1,1,"https://www.paulsvalleydailydemocrat.com/news/local_news/protest-returns-with-holiday-rally/article_1fa16d5b-79f3-51d4-8f4f-b823891a0bf3.html#:~:text=Jul%202%2C%202020%20A%20couple%20dozen%20or%20so,Wacker%20Park.%20%28PV%20Democrat%20photo%20by%20Barry%20Porterfield%29",https://www.paulsvalleydailydemocrat.com/news/local_news/protest-returns-with-holiday-rally/article_ff1281e6-9bdd-5194-aa2e-0a12615e3f04.html,,,
Roanoke,Roanoke Veterans Memorial,,VA,US,2020-07-05,,,,,,,general protesters,"Back the Blue, support for police",0,rally,,,,,1,1,https://www.wdbj7.com/2020/07/06/back-the-blue-rally-held-in-roanoke/,https://www.wsls.com/news/local/2020/07/06/back-the-blue-or-police-reform-dueling-rallies-cover-both-sides-of-debate/,,,
Saint Paul,Oromo Community of Minnesota Center,,MN,US,2020-07-05,more than 500,500,,500,,,general protesters,"for justice for Oromos in Ethiopia, against killing of Hachalu Hundessa",0,rally,,,,,1,1,https://www.twincities.com/2020/07/05/hachalu-hundessa-mn-st-paul-rally-ethiopians-oromo/,,,,
Sacramento,,,CA,US,2020-07-05,dozens,24,,24,,,general protesters,"for justice for slain soldier Vanessa Guillen, against hate crime, against military recruiters at high schools, for closure of Fort Hood",0,rally,,,,,1,1,https://www.kcra.com/article/dozens-gather-in-sacramento-vanessa-guillen-protest/33210061,,,,
Saint Cloud,OP Johnson Park,,FL,US,2020-07-05,40 to 50,40,,50,,,general protesters,,0,protest; roadblock,2,1,,,1,1,https://www.aroundosceola.com/news/police-arrest-two-men-st-cloud-protest-after-blocking-roadways-assaulting-officer,,,,
San Antonio,,,TX,US,2020-07-05,,,,,,,general protesters,for justice for slain soldier Vanessa Guillen,0,march,,,,,1,1,https://theeagle.com/news/state-and-regional/texans-across-the-state-march-to-demand-justice-for-fort-hood-soldier-vanessa-guill-n/article_793a1019-73df-5f34-9fad-f29065cfca89.html,,,,
Pueblo,Abriendo Ave,,CO,US,2020-07-05,dozens of protesters and supporters of the monument,24,,24,,,general protesters,against removal of monument to Christopher Columbus,0,counter-protest,2,,,,0,1,https://www.koaa.com/news/covering-colorado/protesters-counter-protesters-clash-over-christoper-columbus-statue-in-downtown-pueblo,https://www.koaa.com/news/covering-colorado/italian-community-to-meet-with-pueblo-mayor-after-protesters-arrested-during-christopher-columbus-protest,,,
Tallahassee,Florida State University,,FL,US,2020-07-05,about 50,50,,50,,,Dream Defenders,"support for Palestine, against Israeli annexation, Day of Rage",0,march,,,,,1,1,https://www.wctv.tv/2020/07/06/protesters-gather-for-day-of-rage-march-to-oppose-annexation-of-palestinian-territories/,,,,
Tampa,,,FL,US,2020-07-05,,,,,,,general protesters,"support for Palestine, against Israeli annexation, Day of Rage",0,protest,,,,,1,1,https://www.wctv.tv/2020/07/06/protesters-gather-for-day-of-rage-march-to-oppose-annexation-of-palestinian-territories/,,,,
Brainerd,corner of 6th and Washington,,MN,US,2020-07-06,10 to 15,10,,15,,,general protesters,"against Black Lives Matter, support for President Trump, against racism toward whites, against Marxism",2,counter-protest,,,,,0,1,https://www.brainerddispatch.com/news/6563923-Black-Lives-Matter-demonstration-draws-conflicting-groups-in-Brainerd,,,,
Burlington,city police station,,VT,US,2020-07-06,more than 20,20,,20,,,general protesters,supporting Burlington Police Department,0,rally,,,,,1,1,https://vtdigger.org/2020/07/06/police-defenders-and-protesters-exchange-harsh-words-outside-burlington-station/?is_wppwa=true&wpappninja_cache=friendly,,,crowd size estimate from photo,
East Meadow,Broadway at Huntington Station,,NY ,US,2020-07-06,,,,,,,general protesters,BLM,0,protest,,,,,1,1,"https://www.liherald.com/eastmeadow/stories/suv-strikes-black-lives-matter-protesters-in-huntington,126432",,,,
Gloversville,McNab Elementary School,,NY,US,2020-07-06,roughly 20,20,,20,,,students,against Gloversville Enlarged School District graduation plans in response to COVID-19 pandemic,0,protest,,,,,1,1,https://www.leaderherald.com/news/local-news/2020/07/graduates-protest-graduation-plans/,,,,
Houston,Encompass Health Rehabilitation Hospital,,TX,US,2020-07-06,about 30,30,,30,,,nurses,"for hazard pay, for better working conditions, for more personal protective equipment during COVID-19 pandemic",0,strike,,,,,1,1,https://www.click2houston.com/news/local/2020/07/07/nurses-at-humble-hospital-go-on-strike-to-demand-more-ppe-better-work-conditions/?fbclid=IwAR3Baei6diPhgZEto_wtMEgndpO8VPrXLwu2S31VKkANv3bRVa0EDDrWSYk,,,,
Longview,Loop 281 and Judson Rd,,TX,US,2020-07-06,50,50,,50,,,general protesters,justice for murdered soldier Vanessa Guillen,0,protest,,,,,1,1,https://www.news-journal.com/news/local/longview-protesters-demand-justice-for-fort-hood-soldier-whose-remains-found-buried/article_f2b2b14a-bfe9-11ea-b3cc-b7c83235bbd5.html,,,Protesters were joined by Longview Black Lives Matter allies to show unity,
Mishawaka,Battell Park to the Mishawa Police,,,US,2020-07-06,more than a 100,100,,100,,,general protesters,In support of Trevor Davis (who was intention allu injured during a protester),0,rally,,,,,1,1,https://www.southbendtribune.com/news/publicsafety/prosecutors-ask-for-publics-help-before-determining-charges-related-to-mishawaka-protest/article_d71aee7a-c15b-11ea-aa13-57b5534f6caa.html,,,,
New Brunswick ,Rutgers University ,,NJ,US,2020-07-06,"10,000","10,000",,"10,000",,,students,demand of further reduction of tuution and university fees ,0,online petition,,,,,1,1,https://www.northjersey.com/story/news/education/college/rutgers/2020/07/07/rutgers-students-protest-tuition-fees-fall-remote-instruction/5389639002/,,,,
New York,City Hall,,NY,US,2020-07-06,handful,,,,,,general protesters,"for police reform, for community investment",0,protest,,,,,1,1,https://www.amny.com/police-fire/city-hall-protesters-interrupt-jumaane-williams-press-conference-seeking-end-to-gun-violence/,,,,
Normal,Uptown Circle,,IL,US,2020-07-06,count pic,6,,6,,,International Brotherhood of Electrical Workers Local 197,call for town tax incentive packages to include requirement to hire local workers when possible,0,rally,,,,,1,1,https://www.pantagraph.com/news/local/govt-and-politics/union-protesters-call-for-normal-to-require-local-workers-when-tax-incentives-used/article_95c390cc-2964-5807-8452-c128dc4e43a1.html,,,,
Phoenix,Maryvale precinct,Maricopa,AZ,US,2020-07-06,count video,50,,100,,,general protesters,"against police shooting, justice for James Garcia",0,protest,,,,,1,1,https://www.12news.com/article/news/crime/officers-respond-to-fatal-phoenix-shooting-july-4/75-9d2b9d41-5045-48d7-b947-cfc80f71a9e4,,,,
Portland,Justice Center,,OR,US,2020-07-06,a few dozen,36,,36,,,general protesters,"Back the Blue, for police",0,rally,,,,,1,1,https://pamplinmedia.com/pt/9-news/472543-382165-back-the-blue-police-supporters-rally-outside-justice-center,,,,
Portland,Burnside Bridge,,OR,US,2020-07-06,at least 100,100,,100,,,general protesters,"for justice for Oromos in Ethiopia, against killing of Hachalu Hundessa, support for Oromo Liberation Front",0,march,,,,,0,1,https://www.oregonlive.com/pacific-northwest-news/2020/07/protesters-converge-briefly-blocking-burnside-bridge-to-protest-killing-of-ethiopian-musician.html,,,,
Richmond,Civic Center,,CA,US,2020-07-06,,,,,,,local residents,support Vanessa Guillen and her family,0,vigil,,,,,1,1,https://www.instagram.com/p/CCSxtdzhoe3/,,,,
Wantagh,Wantagh High School,,NY,US,2020-07-06,more than 1000,1000,,1000,,,general protesters,"Blue Lives Matter, support for police",0,march,,,,,1,1,"https://www.liherald.com/seaford/stories/more-than-1000-march-in-wantagh-in-support-of-police,126389",,,,
Wantagh,Seaford LIRR station,,NY,US,2020-07-06,,,,,,,general protesters,against Blue Lives Matter,0,counter-protest,,,,,0,1,"https://www.liherald.com/seaford/stories/more-than-1000-march-in-wantagh-in-support-of-police,126389",,,,
Waukegan,Grand Ave,,IL,US,2020-07-06,about 60,60,,60,,,general protesters,"justice for murdered soldier Vanessa Guillen, in support of a zero tolerance policy on sexual assault in the military",0,protest,,,,,1,1,https://www.chicagotribune.com/suburbs/lake-county-news-sun/ct-lns-vanessa-guillen-vigil-st-0708-20200707-yhcm2jhtu5btldt7d5wvn2lr2i-story.html,,,,
Athens,College Sqaure,,GA,US,2020-07-07,,,,,,,general protesters,Anti-discrimination movement,0,protest,,,,,1,1,https://www.onlineathens.com/photogallery/GA/20200708/PHOTOGALLERY/708009999/PH/1,,,,
